epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1565447788756,2019-08-10T07:36:28.756,0.000,0.049,-0.091,1.002
1565447788775,2019-08-10T07:36:28.775,0.019,0.051,-0.090,1.015
1565447788795,2019-08-10T07:36:28.795,0.039,0.051,-0.091,1.009
1565447788814,2019-08-10T07:36:28.814,0.058,0.051,-0.091,1.008
1565447788835,2019-08-10T07:36:28.835,0.079,0.052,-0.091,1.009
1565447788854,2019-08-10T07:36:28.854,0.098,0.050,-0.091,1.011
1565447788874,2019-08-10T07:36:28.874,0.118,0.050,-0.090,1.010
1565447788894,2019-08-10T07:36:28.894,0.138,0.050,-0.090,1.010
1565447788914,2019-08-10T07:36:28.914,0.158,0.049,-0.091,1.009
1565447788933,2019-08-10T07:36:28.933,0.177,0.049,-0.091,1.011
1565447788954,2019-08-10T07:36:28.954,0.198,0.050,-0.089,1.007
1565447788973,2019-08-10T07:36:28.973,0.217,0.051,-0.091,1.008
1565447788992,2019-08-10T07:36:28.992,0.236,0.050,-0.089,1.011
1565447789012,2019-08-10T07:36:29.012,0.256,0.049,-0.090,1.009
1565447789031,2019-08-10T07:36:29.031,0.275,0.050,-0.090,1.008
1565447789052,2019-08-10T07:36:29.052,0.296,0.050,-0.090,1.010
1565447789071,2019-08-10T07:36:29.071,0.315,0.050,-0.090,1.009
1565447789091,2019-08-10T07:36:29.091,0.335,0.051,-0.091,1.010
1565447789110,2019-08-10T07:36:29.110,0.354,0.049,-0.091,1.011
1565447789131,2019-08-10T07:36:29.131,0.375,0.050,-0.090,1.010
1565447789150,2019-08-10T07:36:29.150,0.394,0.052,-0.090,1.009
1565447789169,2019-08-10T07:36:29.169,0.413,0.051,-0.091,1.010
1565447789189,2019-08-10T07:36:29.189,0.433,0.050,-0.091,1.010
1565447789208,2019-08-10T07:36:29.208,0.452,0.052,-0.091,1.010
1565447789229,2019-08-10T07:36:29.229,0.473,0.050,-0.090,1.010
1565447789248,2019-08-10T07:36:29.248,0.492,0.050,-0.091,1.010
1565447789269,2019-08-10T07:36:29.269,0.513,0.049,-0.090,1.012
1565447789288,2019-08-10T07:36:29.288,0.532,0.048,-0.091,1.010
1565447789308,2019-08-10T07:36:29.308,0.552,0.051,-0.089,1.011
1565447789327,2019-08-10T07:36:29.327,0.571,0.049,-0.090,1.011
1565447789348,2019-08-10T07:36:29.348,0.592,0.050,-0.090,1.010
1565447789367,2019-08-10T07:36:29.367,0.611,0.050,-0.089,1.013
1565447789386,2019-08-10T07:36:29.386,0.630,0.050,-0.092,1.012
1565447789406,2019-08-10T07:36:29.406,0.650,0.050,-0.090,1.012
1565447789425,2019-08-10T07:36:29.425,0.669,0.050,-0.091,1.010
1565447789446,2019-08-10T07:36:29.446,0.690,0.049,-0.091,1.010
1565447789465,2019-08-10T07:36:29.465,0.709,0.051,-0.090,1.011
1565447789485,2019-08-10T07:36:29.485,0.729,0.049,-0.090,1.014
1565447789504,2019-08-10T07:36:29.504,0.748,0.049,-0.091,1.013
1565447789525,2019-08-10T07:36:29.525,0.769,0.051,-0.090,1.009
1565447789544,2019-08-10T07:36:29.544,0.788,0.054,-0.089,1.008
1565447789564,2019-08-10T07:36:29.564,0.808,0.052,-0.089,1.012
1565447789583,2019-08-10T07:36:29.583,0.827,0.048,-0.091,1.009
1565447789603,2019-08-10T07:36:29.603,0.847,0.048,-0.090,1.012
1565447789623,2019-08-10T07:36:29.623,0.867,0.055,-0.089,1.010
1565447789642,2019-08-10T07:36:29.642,0.886,0.053,-0.091,1.008
1565447789663,2019-08-10T07:36:29.663,0.907,0.048,-0.090,1.010
1565447789682,2019-08-10T07:36:29.682,0.926,0.052,-0.091,1.010
1565447789702,2019-08-10T07:36:29.702,0.946,0.055,-0.091,1.008
1565447789721,2019-08-10T07:36:29.721,0.965,0.054,-0.094,1.008
1565447789742,2019-08-10T07:36:29.742,0.986,0.048,-0.089,1.011
1565447789761,2019-08-10T07:36:29.761,1.005,0.049,-0.087,1.009
1565447789781,2019-08-10T07:36:29.781,1.025,0.054,-0.087,1.009
1565447789800,2019-08-10T07:36:29.800,1.044,0.052,-0.092,1.012
1565447789819,2019-08-10T07:36:29.819,1.063,0.048,-0.098,1.009
1565447789840,2019-08-10T07:36:29.840,1.084,0.051,-0.087,1.012
1565447789859,2019-08-10T07:36:29.859,1.103,0.053,-0.090,1.009
1565447789879,2019-08-10T07:36:29.879,1.123,0.051,-0.083,1.010
1565447789898,2019-08-10T07:36:29.898,1.142,0.048,-0.089,1.012
1565447789919,2019-08-10T07:36:29.919,1.163,0.050,-0.096,1.010
1565447789938,2019-08-10T07:36:29.938,1.182,0.056,-0.089,1.009
1565447789958,2019-08-10T07:36:29.958,1.202,0.051,-0.093,1.008
1565447789978,2019-08-10T07:36:29.978,1.222,0.048,-0.085,1.013
1565447789998,2019-08-10T07:36:29.998,1.242,0.050,-0.087,1.012
1565447790017,2019-08-10T07:36:30.017,1.261,0.054,-0.091,1.009
1565447790036,2019-08-10T07:36:30.036,1.280,0.054,-0.091,1.011
1565447790057,2019-08-10T07:36:30.057,1.301,0.050,-0.097,1.011
1565447790076,2019-08-10T07:36:30.076,1.320,0.050,-0.088,1.013
1565447790096,2019-08-10T07:36:30.096,1.340,0.052,-0.087,1.009
1565447790115,2019-08-10T07:36:30.115,1.359,0.053,-0.088,1.011
1565447790136,2019-08-10T07:36:30.136,1.380,0.049,-0.088,1.011
1565447790155,2019-08-10T07:36:30.155,1.399,0.050,-0.095,1.010
1565447790175,2019-08-10T07:36:30.175,1.419,0.055,-0.091,1.009
1565447790194,2019-08-10T07:36:30.194,1.438,0.051,-0.090,1.010
1565447790215,2019-08-10T07:36:30.215,1.459,0.051,-0.089,1.011
1565447790234,2019-08-10T07:36:30.234,1.478,0.052,-0.086,1.012
1565447790253,2019-08-10T07:36:30.253,1.497,0.052,-0.090,1.011
1565447790273,2019-08-10T07:36:30.273,1.517,0.052,-0.093,1.011
1565447790292,2019-08-10T07:36:30.292,1.536,0.050,-0.092,1.013
1565447790313,2019-08-10T07:36:30.313,1.557,0.051,-0.089,1.010
1565447790332,2019-08-10T07:36:30.332,1.576,0.053,-0.085,1.008
1565447790353,2019-08-10T07:36:30.353,1.597,0.051,-0.089,1.011
1565447790372,2019-08-10T07:36:30.372,1.616,0.044,-0.159,1.005
1565447790392,2019-08-10T07:36:30.392,1.636,0.053,-0.021,1.015
1565447790411,2019-08-10T07:36:30.411,1.655,0.059,-0.013,1.014
1565447790432,2019-08-10T07:36:30.432,1.676,0.046,-0.071,1.005
1565447790451,2019-08-10T07:36:30.451,1.695,0.024,-0.001,1.001
1565447790470,2019-08-10T07:36:30.470,1.714,0.102,-0.113,1.027
1565447790490,2019-08-10T07:36:30.490,1.734,0.068,-0.096,1.007
1565447790509,2019-08-10T07:36:30.509,1.753,0.053,-0.088,1.008
1565447790530,2019-08-10T07:36:30.530,1.774,0.055,-0.082,1.011
1565447790549,2019-08-10T07:36:30.549,1.793,0.054,-0.051,1.013
1565447790569,2019-08-10T07:36:30.569,1.813,0.055,-0.024,1.013
1565447790588,2019-08-10T07:36:30.588,1.832,0.028,0.004,1.021
1565447790609,2019-08-10T07:36:30.609,1.853,0.080,-0.100,1.016
1565447790628,2019-08-10T07:36:30.628,1.872,0.095,-0.128,1.007
1565447790648,2019-08-10T07:36:30.648,1.892,0.099,-0.191,0.999
1565447790667,2019-08-10T07:36:30.667,1.911,0.049,-0.088,1.020
1565447790687,2019-08-10T07:36:30.687,1.931,0.071,-0.100,1.000
