epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1565459083086,2019-08-10T10:44:43.086,0.000,98120.484
1565459083159,2019-08-10T10:44:43.159,0.073,98124.766
1565459083234,2019-08-10T10:44:43.234,0.148,98128.578
1565459083307,2019-08-10T10:44:43.307,0.221,98122.977
1565459083381,2019-08-10T10:44:43.381,0.295,98127.750
1565459083454,2019-08-10T10:44:43.454,0.368,98123.828
1565459083529,2019-08-10T10:44:43.529,0.443,98125.961
1565459083602,2019-08-10T10:44:43.602,0.516,98126.813
1565459083675,2019-08-10T10:44:43.675,0.589,98120.742
1565459083748,2019-08-10T10:44:43.748,0.662,98127.266
1565459083823,2019-08-10T10:44:43.823,0.737,98126.328
1565459083896,2019-08-10T10:44:43.896,0.810,98124.656
1565459083969,2019-08-10T10:44:43.969,0.883,98124.281
1565459084043,2019-08-10T10:44:44.043,0.957,98127.266
1565459084117,2019-08-10T10:44:44.117,1.031,98127.641
1565459084191,2019-08-10T10:44:44.191,1.105,98122.531
1565459084264,2019-08-10T10:44:44.264,1.178,98124.656
1565459084337,2019-08-10T10:44:44.337,1.251,98126.813
1565459084412,2019-08-10T10:44:44.412,1.326,98125.516
1565459084485,2019-08-10T10:44:44.485,1.399,98128.945
1565459084558,2019-08-10T10:44:44.558,1.472,98119.922
1565459084632,2019-08-10T10:44:44.632,1.546,98125.516
1565459084706,2019-08-10T10:44:44.706,1.620,98129.430
1565459084780,2019-08-10T10:44:44.780,1.694,98121.227
1565459084853,2019-08-10T10:44:44.853,1.767,98122.906
1565459084926,2019-08-10T10:44:44.926,1.840,98127.641
1565459085001,2019-08-10T10:44:45.001,1.915,98126.328
1565459085074,2019-08-10T10:44:45.074,1.988,98125.031
1565459085147,2019-08-10T10:44:45.147,2.061,98116.828
1565459085220,2019-08-10T10:44:45.220,2.134,98125.031
1565459085295,2019-08-10T10:44:45.295,2.209,98124.203
1565459085368,2019-08-10T10:44:45.368,2.282,98125.031
1565459085442,2019-08-10T10:44:45.442,2.356,98123.719
1565459085516,2019-08-10T10:44:45.516,2.430,98120.742
1565459085590,2019-08-10T10:44:45.590,2.504,98127.188
1565459085663,2019-08-10T10:44:45.663,2.577,98126.328
1565459085736,2019-08-10T10:44:45.736,2.650,98122.906
1565459085811,2019-08-10T10:44:45.811,2.725,98125.031
1565459085884,2019-08-10T10:44:45.884,2.798,98121.594
1565459085957,2019-08-10T10:44:45.957,2.871,98125.031
1565459086030,2019-08-10T10:44:46.030,2.944,98124.578
1565459086105,2019-08-10T10:44:46.105,3.019,98122.906
1565459086178,2019-08-10T10:44:46.178,3.092,98120.656
1565459086252,2019-08-10T10:44:46.252,3.166,98127.641
1565459086325,2019-08-10T10:44:46.325,3.239,98122.047
1565459086400,2019-08-10T10:44:46.400,3.314,98124.656
1565459086473,2019-08-10T10:44:46.473,3.387,98125.406
1565459086546,2019-08-10T10:44:46.546,3.460,98121.594
1565459086619,2019-08-10T10:44:46.619,3.533,98119.805
1565459086694,2019-08-10T10:44:46.694,3.608,98127.641
1565459086767,2019-08-10T10:44:46.767,3.681,98127.641
1565459086841,2019-08-10T10:44:46.841,3.755,98123.719
1565459086914,2019-08-10T10:44:46.914,3.828,98125.031
1565459086988,2019-08-10T10:44:46.988,3.902,98117.672
1565459087062,2019-08-10T10:44:47.062,3.976,98126.328
1565459087135,2019-08-10T10:44:47.135,4.049,98126.328
1565459087208,2019-08-10T10:44:47.208,4.122,98125.031
1565459087283,2019-08-10T10:44:47.283,4.197,98123.719
1565459087356,2019-08-10T10:44:47.356,4.270,98128.008
1565459087429,2019-08-10T10:44:47.429,4.343,98121.109
1565459087503,2019-08-10T10:44:47.503,4.417,98125.031
1565459087577,2019-08-10T10:44:47.577,4.491,98126.328
1565459087651,2019-08-10T10:44:47.651,4.565,98118.500
1565459087724,2019-08-10T10:44:47.724,4.638,98123.273
1565459087797,2019-08-10T10:44:47.797,4.711,98125.031
