epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1565464213908,2019-08-10T12:10:13.908,0.000,0.610,0.305,2.744
1565464213928,2019-08-10T12:10:13.928,0.020,0.549,0.183,-0.915
1565464213947,2019-08-10T12:10:13.947,0.039,0.488,0.549,1.098
1565464213968,2019-08-10T12:10:13.968,0.060,0.488,0.549,1.463
1565464213987,2019-08-10T12:10:13.987,0.079,0.610,0.427,1.280
1565464214006,2019-08-10T12:10:14.006,0.098,0.488,0.488,1.280
1565464214026,2019-08-10T12:10:14.026,0.118,0.427,0.549,1.280
1565464214045,2019-08-10T12:10:14.045,0.137,0.488,0.549,1.280
1565464214066,2019-08-10T12:10:14.066,0.158,0.488,0.610,1.280
1565464214085,2019-08-10T12:10:14.085,0.177,0.549,0.488,1.280
1565464214105,2019-08-10T12:10:14.105,0.197,0.427,0.488,1.220
1565464214124,2019-08-10T12:10:14.124,0.216,0.488,0.488,1.280
1565464214145,2019-08-10T12:10:14.145,0.237,0.610,0.488,1.280
1565464214164,2019-08-10T12:10:14.164,0.256,0.488,0.488,1.280
1565464214185,2019-08-10T12:10:14.185,0.277,0.488,0.427,1.280
1565464214204,2019-08-10T12:10:14.204,0.296,0.427,0.549,1.341
1565464214223,2019-08-10T12:10:14.223,0.315,0.488,0.549,1.280
1565464214243,2019-08-10T12:10:14.243,0.335,0.488,0.488,1.341
1565464214262,2019-08-10T12:10:14.262,0.354,0.488,0.488,1.280
1565464214283,2019-08-10T12:10:14.283,0.375,0.549,0.488,1.280
1565464214302,2019-08-10T12:10:14.302,0.394,0.488,0.488,1.280
1565464214322,2019-08-10T12:10:14.322,0.414,0.488,0.549,1.220
1565464214341,2019-08-10T12:10:14.341,0.433,0.488,0.549,1.220
1565464214362,2019-08-10T12:10:14.362,0.454,0.427,0.549,1.220
1565464214381,2019-08-10T12:10:14.381,0.473,0.732,0.549,1.220
1565464214400,2019-08-10T12:10:14.400,0.492,0.427,0.488,1.280
1565464214420,2019-08-10T12:10:14.420,0.512,0.488,0.427,1.280
1565464214439,2019-08-10T12:10:14.439,0.531,0.549,0.488,1.280
1565464214460,2019-08-10T12:10:14.460,0.552,0.427,0.488,1.280
1565464214479,2019-08-10T12:10:14.479,0.571,0.549,0.549,1.341
1565464214499,2019-08-10T12:10:14.499,0.591,0.488,0.488,1.341
1565464214519,2019-08-10T12:10:14.519,0.611,0.549,0.488,1.220
1565464214539,2019-08-10T12:10:14.539,0.631,0.488,0.488,1.280
1565464214558,2019-08-10T12:10:14.558,0.650,0.427,0.427,1.280
