time,class,class_prop,class_rel,class_prop_rel
91.46,8,1,8,1
92.46,8,1,8,1
93.46,8,1,8,1
94.46,8,1,8,1
95.46,8,1,8,1
96.46,8,1,8,1
97.46,8,1,8,1
98.46,8,1,8,1
99.46,8,1,8,1
100.46,8,1,8,1
101.46,8,1,8,1
102.46,8,1,8,1
103.46,8,0.835820895522388,8,1
104.46,8,0.587064676616915,8,0.850746268656716
105.46,6,0.661691542288557,8,0.601990049751244
106.46,6,0.91044776119403,6,0.646766169154229
107.46,6,1,6,0.895522388059702
108.46,6,1,6,1
109.46,6,1,6,1
110.46,6,1,6,1
111.46,6,1,6,1
112.46,6,1,6,1
113.46,6,1,6,1
114.46,6,1,6,1
115.46,6,1,6,1
116.46,6,1,6,1
117.46,6,1,6,1
118.46,6,1,6,1
119.46,6,1,6,1
120.46,6,1,6,1
121.46,6,1,6,1
122.46,6,1,6,1
123.46,6,1,6,1
124.46,6,1,6,1
125.46,6,1,6,1
126.46,6,1,6,1
127.46,6,1,6,1
128.46,6,1,6,1
129.46,6,1,6,1
130.46,6,1,6,1
131.46,6,1,6,1
132.46,6,1,6,1
133.46,6,1,6,1
134.46,6,1,6,1
135.46,6,1,6,1
136.46,6,1,6,1
137.46,6,1,6,1
138.46,6,1,6,1
139.46,6,1,6,1
140.46,6,1,6,1
141.46,6,1,6,1
142.46,6,1,6,1
143.46,6,1,6,1
144.46,6,1,6,1
145.46,6,1,6,1
146.46,6,1,6,1
147.46,6,1,6,1
148.46,6,1,6,1
149.46,6,1,6,1
150.46,6,1,6,1
151.46,6,1,6,1
152.46,6,1,6,1
153.46,6,1,6,1
154.46,6,1,6,1
155.46,6,1,6,1
156.46,6,1,6,1
157.46,6,1,6,1
158.46,6,1,6,1
159.46,6,1,6,1
160.46,6,1,6,1
161.46,6,1,6,1
162.46,6,1,6,1
163.46,6,1,6,1
164.46,6,1,6,1
165.46,6,1,6,1
166.46,6,1,6,1
167.46,6,1,6,1
168.46,6,1,6,1
169.46,6,1,6,1
170.46,6,1,6,1
171.46,6,1,6,1
172.46,6,1,6,1
173.46,6,1,6,1
174.46,6,1,6,1
175.46,6,1,6,1
176.46,6,1,6,1
177.46,6,1,6,1
178.46,6,1,6,1
179.46,6,1,6,1
180.46,6,1,6,1
181.46,6,1,6,1
182.46,6,1,6,1
183.46,6,1,6,1
184.46,6,1,6,1
185.46,6,1,6,1
186.46,6,1,6,1
187.46,6,1,6,1
188.46,6,1,6,1
189.46,6,1,6,1
190.46,6,1,6,1
191.46,6,1,6,1
192.46,6,1,6,1
193.46,6,1,6,1
194.46,6,1,6,1
195.46,6,1,6,1
196.46,6,1,6,1
197.46,6,1,6,1
198.46,6,1,6,1
199.46,6,1,6,1
200.46,6,1,6,1
201.46,6,1,6,1
202.46,6,1,6,1
203.46,6,1,6,1
204.46,6,1,6,1
205.46,6,1,6,1
206.46,6,1,6,1
207.46,6,1,6,1
208.46,6,1,6,1
209.46,6,1,6,1
210.46,6,1,6,1
211.46,6,1,6,1
212.46,6,1,6,1
213.46,6,1,6,1
214.46,6,1,6,1
215.46,6,1,6,1
216.46,6,1,6,1
217.46,6,1,6,1
218.46,6,1,6,1
219.46,6,1,6,1
220.46,6,1,6,1
221.46,6,1,6,1
222.46,6,1,6,1
223.46,6,1,6,1
224.46,6,1,6,1
225.46,6,1,6,1
226.46,6,1,6,1
227.46,6,1,6,1
228.46,6,1,6,1
229.46,6,1,6,1
230.46,6,1,6,1
231.46,6,1,6,1
232.46,6,1,6,1
233.46,6,1,6,1
234.46,6,1,6,1
235.46,6,1,6,1
236.46,6,0.786069651741294,6,0.761194029850746
237.46,6,0.537313432835821,6,0.512437810945274
238.46,5,0.711442786069652,5,0.736318407960199
239.46,5,0.960199004975124,5,0.985074626865672
240.46,5,1,5,1
241.46,5,1,5,1
242.46,5,1,5,1
243.46,5,1,5,1
244.46,5,1,5,1
245.46,5,1,5,1
246.46,5,1,5,1
247.46,5,1,5,1
248.46,5,1,5,1
249.46,5,1,5,1
250.46,5,1,5,1
251.46,5,1,5,1
252.46,5,1,5,1
253.46,5,1,5,1
254.46,5,1,5,1
255.46,5,1,5,1
256.46,5,1,5,1
257.46,5,1,5,1
258.46,5,1,5,1
259.46,5,1,5,1
260.46,5,1,5,1
261.46,5,1,5,1
262.46,5,1,5,1
263.46,5,1,5,1
264.46,5,1,5,1
265.46,5,1,5,1
266.46,5,1,5,1
267.46,5,1,5,1
268.46,5,1,5,1
269.46,5,1,5,1
270.46,5,1,5,1
271.46,5,1,5,1
272.46,5,1,5,1
273.46,5,1,5,1
274.46,5,1,5,1
275.46,5,1,5,1
276.46,5,1,5,1
277.46,5,1,5,1
278.46,5,1,5,1
279.46,5,1,5,1
280.46,5,1,5,1
281.46,5,1,5,1
282.46,5,1,5,1
283.46,5,1,5,1
284.46,5,1,5,1
285.46,5,1,5,1
286.46,5,1,5,1
287.46,5,1,5,1
288.46,5,1,5,1
289.46,5,1,5,1
290.46,5,1,5,1
291.46,5,1,5,1
292.46,5,1,5,1
293.46,5,1,5,1
294.46,5,1,5,1
295.46,5,1,5,1
296.46,5,1,5,1
297.46,5,1,5,1
298.46,5,1,5,1
299.46,5,1,5,1
300.46,5,1,5,1
301.46,5,1,5,1
302.46,5,1,5,1
303.46,5,1,5,1
304.46,5,1,5,1
305.46,5,1,5,1
306.46,5,1,5,1
307.46,5,1,5,1
308.46,5,1,5,1
309.46,5,1,5,1
310.46,5,1,5,1
311.46,5,1,5,1
312.46,5,1,5,1
313.46,5,1,5,1
314.46,5,1,5,1
315.46,5,1,5,1
316.46,5,1,5,1
317.46,5,1,5,1
318.46,5,1,5,1
319.46,5,1,5,1
320.46,5,1,5,1
321.46,5,1,5,1
322.46,5,1,5,1
323.46,5,1,5,1
324.46,5,1,5,1
325.46,5,1,5,1
326.46,5,1,5,1
327.46,5,1,5,1
328.46,5,1,5,1
329.46,5,1,5,1
330.46,5,1,5,1
331.46,5,1,5,1
332.46,5,1,5,1
333.46,5,1,5,1
334.46,5,1,5,1
335.46,5,1,5,1
336.46,5,1,5,1
337.46,5,1,5,1
338.46,5,1,5,1
339.46,5,1,5,0.900497512437811
340.46,5,0.805970149253731,5,0.651741293532338
341.46,5,0.557213930348259,6,0.597014925373134
342.46,6,0.691542288557214,6,0.845771144278607
343.46,6,0.940298507462687,6,1
344.46,6,1,6,1
345.46,6,1,6,1
346.46,6,1,6,1
347.46,6,1,6,1
348.46,6,1,6,1
349.46,6,1,6,1
350.46,6,1,6,1
351.46,6,1,6,1
352.46,6,1,6,1
353.46,6,1,6,1
354.46,6,1,6,1
355.46,6,1,6,1
356.46,6,1,6,1
357.46,6,1,6,1
358.46,6,1,6,1
359.46,6,1,6,1
360.46,6,1,6,1
361.46,6,1,6,1
362.46,6,1,6,1
363.46,6,1,6,1
364.46,6,1,6,1
365.46,6,1,6,1
