epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1567330101159,2019-09-01T02:28:21.159,0.000,-0.305,0.244,0.793
1567330101180,2019-09-01T02:28:21.180,0.021,-0.427,0.122,0.854
1567330101200,2019-09-01T02:28:21.200,0.041,-0.427,0.244,0.793
1567330101221,2019-09-01T02:28:21.221,0.062,-0.488,0.305,0.793
1567330101240,2019-09-01T02:28:21.240,0.081,-0.488,0.305,0.793
1567330101260,2019-09-01T02:28:21.260,0.101,-0.488,0.305,0.854
1567330101281,2019-09-01T02:28:21.281,0.122,-0.488,0.244,0.854
1567330101302,2019-09-01T02:28:21.302,0.143,-0.488,0.305,0.793
1567330101322,2019-09-01T02:28:21.322,0.163,-0.488,0.244,0.793
1567330101343,2019-09-01T02:28:21.343,0.184,-0.549,0.305,0.854
1567330101363,2019-09-01T02:28:21.363,0.204,-0.488,0.305,0.854
1567330101382,2019-09-01T02:28:21.382,0.223,-0.488,0.305,0.854
1567330101403,2019-09-01T02:28:21.403,0.244,-0.488,0.305,0.793
1567330101423,2019-09-01T02:28:21.423,0.264,-0.427,0.305,0.793
1567330101444,2019-09-01T02:28:21.444,0.285,-0.488,0.244,0.854
1567330101464,2019-09-01T02:28:21.464,0.305,-0.549,0.244,0.854
1567330101485,2019-09-01T02:28:21.485,0.326,-0.427,0.305,0.793
1567330101504,2019-09-01T02:28:21.504,0.345,-0.427,0.305,0.793
1567330101524,2019-09-01T02:28:21.524,0.365,-0.427,0.305,0.793
1567330101545,2019-09-01T02:28:21.545,0.386,-0.488,0.305,0.732
1567330101565,2019-09-01T02:28:21.565,0.406,-0.366,0.305,0.793
1567330101586,2019-09-01T02:28:21.586,0.427,-0.488,0.305,0.854
1567330101606,2019-09-01T02:28:21.606,0.447,-0.549,0.305,0.854
1567330101627,2019-09-01T02:28:21.627,0.468,-0.427,0.305,0.854
1567330101646,2019-09-01T02:28:21.646,0.487,-0.488,0.244,0.793
1567330101666,2019-09-01T02:28:21.666,0.507,-0.427,0.305,0.793
1567330101687,2019-09-01T02:28:21.687,0.528,-0.427,0.244,0.793
1567330101707,2019-09-01T02:28:21.707,0.548,-0.488,0.244,0.793
1567330101728,2019-09-01T02:28:21.728,0.569,-0.488,0.244,0.854
1567330101748,2019-09-01T02:28:21.748,0.589,-0.488,0.244,0.793
1567330101769,2019-09-01T02:28:21.769,0.610,-0.549,0.244,0.854
1567330101788,2019-09-01T02:28:21.788,0.629,-0.549,0.305,0.732
1567330101808,2019-09-01T02:28:21.808,0.649,-0.427,0.305,0.732
1567330101829,2019-09-01T02:28:21.829,0.670,-0.488,0.305,0.793
1567330101849,2019-09-01T02:28:21.849,0.690,-0.488,0.305,0.793
1567330101870,2019-09-01T02:28:21.870,0.711,-0.488,0.244,0.854
1567330101890,2019-09-01T02:28:21.890,0.731,-0.488,0.183,0.854
1567330101909,2019-09-01T02:28:21.909,0.750,-0.488,0.244,0.793
1567330101930,2019-09-01T02:28:21.930,0.771,-0.488,0.244,0.793
1567330101950,2019-09-01T02:28:21.950,0.791,-0.488,0.244,0.793
1567330101971,2019-09-01T02:28:21.971,0.812,-0.549,0.244,0.793
1567330101991,2019-09-01T02:28:21.991,0.832,-0.488,0.305,0.793
1567330102012,2019-09-01T02:28:22.012,0.853,-0.488,0.305,0.854
1567330102032,2019-09-01T02:28:22.032,0.873,-0.427,0.305,0.793
1567330102052,2019-09-01T02:28:22.052,0.893,-0.427,0.244,0.793
1567330102072,2019-09-01T02:28:22.072,0.913,-0.549,0.305,0.793
1567330102093,2019-09-01T02:28:22.093,0.934,-0.549,0.305,0.793
1567330102113,2019-09-01T02:28:22.113,0.954,-0.427,0.305,0.793
1567330102134,2019-09-01T02:28:22.134,0.975,-0.549,0.244,0.854
1567330102154,2019-09-01T02:28:22.154,0.995,-0.488,0.305,0.854
1567330102175,2019-09-01T02:28:22.175,1.016,-0.427,0.244,0.854
1567330102194,2019-09-01T02:28:22.194,1.035,-0.488,0.244,0.793
1567330102214,2019-09-01T02:28:22.214,1.055,-0.488,0.305,0.793
1567330102235,2019-09-01T02:28:22.235,1.076,-0.488,0.305,0.793
1567330102255,2019-09-01T02:28:22.255,1.096,-0.427,0.305,0.793
1567330102276,2019-09-01T02:28:22.276,1.117,-0.488,0.244,0.793
1567330102296,2019-09-01T02:28:22.296,1.137,-0.488,0.244,0.854
1567330102315,2019-09-01T02:28:22.315,1.156,-0.488,0.244,0.854
1567330102336,2019-09-01T02:28:22.336,1.177,-0.488,0.305,0.854
1567330102356,2019-09-01T02:28:22.356,1.197,-0.488,0.305,0.854
1567330102377,2019-09-01T02:28:22.377,1.218,-0.488,0.305,0.854
1567330102397,2019-09-01T02:28:22.397,1.238,-0.427,0.305,0.854
1567330102418,2019-09-01T02:28:22.418,1.259,-0.549,0.305,0.793
1567330102438,2019-09-01T02:28:22.438,1.279,-0.488,0.244,0.793
1567330102457,2019-09-01T02:28:22.457,1.298,-0.488,0.244,0.854
1567330102478,2019-09-01T02:28:22.478,1.319,-0.488,0.305,0.854
1567330102498,2019-09-01T02:28:22.498,1.339,-0.427,0.244,0.854
1567330102519,2019-09-01T02:28:22.519,1.360,-0.488,0.244,0.793
1567330102539,2019-09-01T02:28:22.539,1.380,-0.549,0.305,0.854
1567330102560,2019-09-01T02:28:22.560,1.401,-0.488,0.305,0.915
1567330102580,2019-09-01T02:28:22.580,1.421,-0.488,0.366,0.854
1567330102599,2019-09-01T02:28:22.599,1.440,-0.488,0.305,0.854
1567330102620,2019-09-01T02:28:22.620,1.461,-0.427,0.305,0.793
1567330102640,2019-09-01T02:28:22.640,1.481,-0.549,0.244,0.854
1567330102661,2019-09-01T02:28:22.661,1.502,-0.488,0.305,0.793
1567330102681,2019-09-01T02:28:22.681,1.522,-0.488,0.244,0.793
1567330102702,2019-09-01T02:28:22.702,1.543,-0.427,0.244,0.854
1567330102721,2019-09-01T02:28:22.721,1.562,-0.488,0.244,0.793
1567330102741,2019-09-01T02:28:22.741,1.582,-0.549,0.305,0.793
1567330102762,2019-09-01T02:28:22.762,1.603,-0.427,0.244,0.793
1567330102782,2019-09-01T02:28:22.782,1.623,-0.427,0.244,0.793
1567330102803,2019-09-01T02:28:22.803,1.644,-0.427,0.183,0.793
1567330102823,2019-09-01T02:28:22.823,1.664,-0.549,0.183,0.793
1567330102844,2019-09-01T02:28:22.844,1.685,-0.488,0.305,0.793
1567330102863,2019-09-01T02:28:22.863,1.704,-0.427,0.305,0.793
1567330102884,2019-09-01T02:28:22.884,1.725,-0.488,0.244,0.793
1567330102904,2019-09-01T02:28:22.904,1.745,-0.549,0.244,0.793
1567330102925,2019-09-01T02:28:22.925,1.766,-0.488,0.244,0.854
1567330102945,2019-09-01T02:28:22.945,1.786,-0.427,0.305,0.854
1567330102966,2019-09-01T02:28:22.966,1.807,-0.488,0.244,0.793
1567330102986,2019-09-01T02:28:22.986,1.827,-0.488,0.305,0.793
1567330103005,2019-09-01T02:28:23.005,1.846,-0.488,0.305,0.793
1567330103026,2019-09-01T02:28:23.026,1.867,-0.488,0.244,0.854
1567330103046,2019-09-01T02:28:23.046,1.887,-0.488,0.244,0.854
1567330103067,2019-09-01T02:28:23.067,1.908,-0.488,0.244,0.854
1567330103087,2019-09-01T02:28:23.087,1.928,-0.549,0.183,0.793
1567330103108,2019-09-01T02:28:23.108,1.949,-0.427,0.244,0.854
1567330103127,2019-09-01T02:28:23.127,1.968,-0.488,0.305,0.854
1567330103147,2019-09-01T02:28:23.147,1.988,-0.488,0.305,0.854
1567330103168,2019-09-01T02:28:23.168,2.009,-0.488,0.244,0.854
