epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567339446933,2019-09-01T05:04:06.933,0.000,-0.092,0.413,0.922
1567339446952,2019-09-01T05:04:06.952,0.019,-0.093,0.416,0.923
1567339446973,2019-09-01T05:04:06.973,0.040,-0.092,0.417,0.923
1567339446993,2019-09-01T05:04:06.993,0.060,-0.084,0.413,0.927
1567339447014,2019-09-01T05:04:07.014,0.081,-0.079,0.413,0.924
1567339447034,2019-09-01T05:04:07.034,0.101,-0.086,0.417,0.925
1567339447055,2019-09-01T05:04:07.055,0.122,-0.094,0.413,0.925
1567339447075,2019-09-01T05:04:07.075,0.142,-0.093,0.415,0.925
1567339447094,2019-09-01T05:04:07.094,0.161,-0.091,0.413,0.924
1567339447115,2019-09-01T05:04:07.115,0.182,-0.082,0.415,0.926
1567339447135,2019-09-01T05:04:07.135,0.202,-0.082,0.416,0.921
1567339447156,2019-09-01T05:04:07.156,0.223,-0.087,0.414,0.926
1567339447176,2019-09-01T05:04:07.176,0.243,-0.092,0.415,0.923
1567339447197,2019-09-01T05:04:07.197,0.264,-0.095,0.415,0.922
1567339447216,2019-09-01T05:04:07.216,0.283,-0.086,0.415,0.926
1567339447236,2019-09-01T05:04:07.236,0.303,-0.082,0.414,0.922
1567339447257,2019-09-01T05:04:07.257,0.324,-0.085,0.415,0.925
1567339447277,2019-09-01T05:04:07.277,0.344,-0.086,0.414,0.923
1567339447298,2019-09-01T05:04:07.298,0.365,-0.092,0.416,0.922
1567339447318,2019-09-01T05:04:07.318,0.385,-0.091,0.415,0.925
1567339447339,2019-09-01T05:04:07.339,0.406,-0.084,0.414,0.925
1567339447358,2019-09-01T05:04:07.358,0.425,-0.083,0.415,0.924
1567339447378,2019-09-01T05:04:07.378,0.445,-0.084,0.414,0.925
1567339447399,2019-09-01T05:04:07.399,0.466,-0.091,0.415,0.924
1567339447419,2019-09-01T05:04:07.419,0.486,-0.094,0.414,0.924
1567339447440,2019-09-01T05:04:07.440,0.507,-0.088,0.414,0.926
1567339447460,2019-09-01T05:04:07.460,0.527,-0.083,0.416,0.924
1567339447479,2019-09-01T05:04:07.479,0.546,-0.082,0.415,0.927
1567339447500,2019-09-01T05:04:07.500,0.567,-0.085,0.413,0.925
1567339447520,2019-09-01T05:04:07.520,0.587,-0.091,0.417,0.922
1567339447541,2019-09-01T05:04:07.541,0.608,-0.093,0.415,0.926
1567339447561,2019-09-01T05:04:07.561,0.628,-0.088,0.414,0.924
1567339447582,2019-09-01T05:04:07.582,0.649,-0.085,0.415,0.926
1567339447602,2019-09-01T05:04:07.602,0.669,-0.082,0.415,0.927
1567339447621,2019-09-01T05:04:07.621,0.688,-0.086,0.417,0.924
1567339447642,2019-09-01T05:04:07.642,0.709,-0.091,0.414,0.925
1567339447663,2019-09-01T05:04:07.663,0.730,-0.091,0.414,0.927
1567339447683,2019-09-01T05:04:07.683,0.750,-0.088,0.416,0.925
1567339447704,2019-09-01T05:04:07.704,0.771,-0.083,0.414,0.924
1567339447724,2019-09-01T05:04:07.724,0.791,-0.086,0.415,0.924
1567339447743,2019-09-01T05:04:07.743,0.810,-0.090,0.415,0.925
1567339447764,2019-09-01T05:04:07.764,0.831,-0.091,0.414,0.926
1567339447784,2019-09-01T05:04:07.784,0.851,-0.089,0.415,0.924
1567339447805,2019-09-01T05:04:07.805,0.872,-0.084,0.415,0.926
1567339447825,2019-09-01T05:04:07.825,0.892,-0.083,0.416,0.925
1567339447846,2019-09-01T05:04:07.846,0.913,-0.086,0.416,0.922
1567339447866,2019-09-01T05:04:07.866,0.933,-0.091,0.416,0.925
1567339447885,2019-09-01T05:04:07.885,0.952,-0.092,0.415,0.926
1567339447906,2019-09-01T05:04:07.906,0.973,-0.088,0.415,0.924
1567339447926,2019-09-01T05:04:07.926,0.993,-0.084,0.416,0.925
1567339447947,2019-09-01T05:04:07.947,1.014,-0.081,0.416,0.926
1567339447967,2019-09-01T05:04:07.967,1.034,-0.087,0.416,0.925
1567339447988,2019-09-01T05:04:07.988,1.055,-0.092,0.414,0.924
1567339448007,2019-09-01T05:04:08.007,1.074,-0.093,0.416,0.925
1567339448027,2019-09-01T05:04:08.027,1.094,-0.088,0.414,0.924
1567339448048,2019-09-01T05:04:08.048,1.115,-0.084,0.415,0.926
1567339448068,2019-09-01T05:04:08.068,1.135,-0.084,0.416,0.924
1567339448089,2019-09-01T05:04:08.089,1.156,-0.086,0.414,0.925
1567339448109,2019-09-01T05:04:08.109,1.176,-0.090,0.414,0.925
1567339448130,2019-09-01T05:04:08.130,1.197,-0.089,0.416,0.926
1567339448149,2019-09-01T05:04:08.149,1.216,-0.085,0.416,0.926
1567339448169,2019-09-01T05:04:08.169,1.236,-0.083,0.415,0.925
1567339448190,2019-09-01T05:04:08.190,1.257,-0.084,0.414,0.925
1567339448210,2019-09-01T05:04:08.210,1.277,-0.090,0.414,0.925
1567339448231,2019-09-01T05:04:08.231,1.298,-0.093,0.413,0.925
1567339448251,2019-09-01T05:04:08.251,1.318,-0.090,0.415,0.926
1567339448272,2019-09-01T05:04:08.272,1.339,-0.083,0.415,0.925
1567339448291,2019-09-01T05:04:08.291,1.358,-0.084,0.416,0.924
1567339448311,2019-09-01T05:04:08.311,1.378,-0.087,0.415,0.926
1567339448332,2019-09-01T05:04:08.332,1.399,-0.091,0.415,0.924
1567339448352,2019-09-01T05:04:08.352,1.419,-0.093,0.415,0.924
1567339448373,2019-09-01T05:04:08.373,1.440,-0.088,0.415,0.928
1567339448393,2019-09-01T05:04:08.393,1.460,-0.085,0.415,0.925
1567339448413,2019-09-01T05:04:08.413,1.480,-0.083,0.416,0.926
1567339448433,2019-09-01T05:04:08.433,1.500,-0.088,0.415,0.927
1567339448454,2019-09-01T05:04:08.454,1.521,-0.091,0.416,0.924
1567339448474,2019-09-01T05:04:08.474,1.541,-0.091,0.415,0.925
1567339448495,2019-09-01T05:04:08.495,1.562,-0.086,0.415,0.926
1567339448515,2019-09-01T05:04:08.515,1.582,-0.083,0.417,0.925
1567339448536,2019-09-01T05:04:08.536,1.603,-0.086,0.415,0.924
1567339448555,2019-09-01T05:04:08.555,1.622,-0.091,0.415,0.925
1567339448575,2019-09-01T05:04:08.575,1.642,-0.091,0.415,0.925
1567339448596,2019-09-01T05:04:08.596,1.663,-0.088,0.414,0.925
1567339448616,2019-09-01T05:04:08.616,1.683,-0.084,0.417,0.926
1567339448637,2019-09-01T05:04:08.637,1.704,-0.084,0.416,0.926
1567339448657,2019-09-01T05:04:08.657,1.724,-0.087,0.416,0.925
1567339448676,2019-09-01T05:04:08.676,1.743,-0.089,0.414,0.921
1567339448697,2019-09-01T05:04:08.697,1.764,-0.090,0.416,0.925
1567339448717,2019-09-01T05:04:08.717,1.784,-0.090,0.414,0.927
1567339448738,2019-09-01T05:04:08.738,1.805,-0.086,0.415,0.925
1567339448758,2019-09-01T05:04:08.758,1.825,-0.085,0.415,0.924
1567339448779,2019-09-01T05:04:08.779,1.846,-0.089,0.415,0.924
1567339448799,2019-09-01T05:04:08.799,1.866,-0.090,0.415,0.927
1567339448818,2019-09-01T05:04:08.818,1.885,-0.090,0.416,0.927
1567339448839,2019-09-01T05:04:08.839,1.906,-0.087,0.415,0.924
1567339448859,2019-09-01T05:04:08.859,1.926,-0.086,0.415,0.924
1567339448880,2019-09-01T05:04:08.880,1.947,-0.085,0.415,0.925
1567339448900,2019-09-01T05:04:08.900,1.967,-0.088,0.416,0.926
1567339448921,2019-09-01T05:04:08.921,1.988,-0.090,0.415,0.924
1567339448940,2019-09-01T05:04:08.940,2.007,-0.091,0.414,0.926
1567339448960,2019-09-01T05:04:08.960,2.027,-0.087,0.414,0.925
1567339448981,2019-09-01T05:04:08.981,2.048,-0.083,0.414,0.925
1567339449001,2019-09-01T05:04:09.001,2.068,-0.086,0.415,0.924
1567339449022,2019-09-01T05:04:09.022,2.089,-0.089,0.416,0.926
1567339449042,2019-09-01T05:04:09.042,2.109,-0.090,0.415,0.925
1567339449063,2019-09-01T05:04:09.063,2.130,-0.090,0.416,0.924
1567339449082,2019-09-01T05:04:09.082,2.149,-0.087,0.415,0.925
1567339449102,2019-09-01T05:04:09.102,2.169,-0.085,0.415,0.925
1567339449123,2019-09-01T05:04:09.123,2.190,-0.087,0.416,0.926
1567339449143,2019-09-01T05:04:09.143,2.210,-0.090,0.415,0.924
1567339449164,2019-09-01T05:04:09.164,2.231,-0.091,0.414,0.923
1567339449184,2019-09-01T05:04:09.184,2.251,-0.089,0.415,0.925
1567339449204,2019-09-01T05:04:09.204,2.271,-0.085,0.416,0.926
1567339449224,2019-09-01T05:04:09.224,2.291,-0.084,0.415,0.925
1567339449245,2019-09-01T05:04:09.245,2.312,-0.088,0.415,0.924
1567339449265,2019-09-01T05:04:09.265,2.332,-0.091,0.414,0.925
1567339449286,2019-09-01T05:04:09.286,2.353,-0.090,0.414,0.926
1567339449306,2019-09-01T05:04:09.306,2.373,-0.087,0.415,0.926
1567339449327,2019-09-01T05:04:09.327,2.394,-0.083,0.416,0.924
1567339449346,2019-09-01T05:04:09.346,2.413,-0.085,0.415,0.923
1567339449366,2019-09-01T05:04:09.366,2.433,-0.089,0.414,0.925
1567339449387,2019-09-01T05:04:09.387,2.454,-0.090,0.415,0.926
1567339449407,2019-09-01T05:04:09.407,2.474,-0.089,0.415,0.924
1567339449428,2019-09-01T05:04:09.428,2.495,-0.085,0.415,0.925
1567339449448,2019-09-01T05:04:09.448,2.515,-0.085,0.416,0.926
1567339449469,2019-09-01T05:04:09.469,2.536,-0.087,0.415,0.924
1567339449488,2019-09-01T05:04:09.488,2.555,-0.090,0.415,0.925
1567339449508,2019-09-01T05:04:09.508,2.575,-0.090,0.416,0.927
1567339449529,2019-09-01T05:04:09.529,2.596,-0.088,0.416,0.925
1567339449549,2019-09-01T05:04:09.549,2.616,-0.086,0.416,0.924
1567339449570,2019-09-01T05:04:09.570,2.637,-0.087,0.416,0.925
1567339449590,2019-09-01T05:04:09.590,2.657,-0.087,0.415,0.925
1567339449609,2019-09-01T05:04:09.609,2.676,-0.089,0.416,0.924
1567339449630,2019-09-01T05:04:09.630,2.697,-0.089,0.417,0.927
1567339449650,2019-09-01T05:04:09.650,2.717,-0.088,0.415,0.927
