epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1559681902843,2019-06-04T13:58:22.843,0.000,97571.648
1559681902917,2019-06-04T13:58:22.917,0.074,97571.469
1559681902991,2019-06-04T13:58:22.991,0.148,97577.047
1559681903064,2019-06-04T13:58:23.064,0.221,97573.922
1559681903139,2019-06-04T13:58:23.139,0.296,97571.297
1559681903212,2019-06-04T13:58:23.212,0.369,97575.234
1559681903285,2019-06-04T13:58:23.285,0.442,97575.234
1559681903358,2019-06-04T13:58:23.358,0.515,97575.531
1559681903433,2019-06-04T13:58:23.433,0.590,97573.922
1559681903506,2019-06-04T13:58:23.506,0.663,97574.219
1559681903580,2019-06-04T13:58:23.580,0.737,97573.922
1559681903653,2019-06-04T13:58:23.653,0.810,97572.609
1559681903728,2019-06-04T13:58:23.728,0.885,97571.297
1559681903801,2019-06-04T13:58:23.801,0.958,97576.844
1559681903874,2019-06-04T13:58:23.874,1.031,97573.922
1559681903947,2019-06-04T13:58:23.947,1.104,97578.156
1559681904022,2019-06-04T13:58:24.022,1.179,97572.102
1559681904095,2019-06-04T13:58:24.095,1.252,97574.219
1559681904168,2019-06-04T13:58:24.168,1.325,97570.289
1559681904242,2019-06-04T13:58:24.242,1.399,97578.156
1559681904316,2019-06-04T13:58:24.316,1.473,97574.219
1559681904390,2019-06-04T13:58:24.390,1.547,97575.531
1559681904463,2019-06-04T13:58:24.463,1.620,97576.367
1559681904538,2019-06-04T13:58:24.538,1.695,97573.422
1559681904611,2019-06-04T13:58:24.611,1.768,97576.367
1559681904684,2019-06-04T13:58:24.684,1.841,97571.125
1559681904757,2019-06-04T13:58:24.757,1.914,97576.367
1559681904832,2019-06-04T13:58:24.832,1.989,97576.367
1559681904905,2019-06-04T13:58:24.905,2.062,97576.844
1559681904979,2019-06-04T13:58:24.979,2.136,97572.102
1559681905052,2019-06-04T13:58:25.052,2.209,97571.930
1559681905126,2019-06-04T13:58:25.126,2.283,97575.859
1559681905200,2019-06-04T13:58:25.200,2.357,97577.172
1559681905273,2019-06-04T13:58:25.273,2.430,97571.125
1559681905346,2019-06-04T13:58:25.346,2.503,97577.172
1559681905421,2019-06-04T13:58:25.421,2.578,97577.172
1559681905494,2019-06-04T13:58:25.494,2.651,97575.859
1559681905567,2019-06-04T13:58:25.567,2.724,97578.156
1559681905641,2019-06-04T13:58:25.641,2.798,97579.797
1559681905715,2019-06-04T13:58:25.715,2.872,97575.063
1559681905789,2019-06-04T13:58:25.789,2.946,97572.906
1559681905862,2019-06-04T13:58:25.862,3.019,97574.047
1559681905937,2019-06-04T13:58:25.937,3.094,97575.531
1559681906010,2019-06-04T13:58:26.010,3.167,97572.906
1559681906083,2019-06-04T13:58:26.083,3.240,97578.484
1559681906156,2019-06-04T13:58:26.156,3.313,97578.992
1559681906231,2019-06-04T13:58:26.231,3.388,97572.734
1559681906304,2019-06-04T13:58:26.304,3.461,97578.484
1559681906377,2019-06-04T13:58:26.377,3.534,97578.484
1559681906451,2019-06-04T13:58:26.451,3.608,97581.109
1559681906525,2019-06-04T13:58:26.525,3.682,97577.172
1559681906599,2019-06-04T13:58:26.599,3.756,97575.063
1559681906672,2019-06-04T13:58:26.672,3.829,97580.602
1559681906745,2019-06-04T13:58:26.745,3.902,97574.555
1559681906820,2019-06-04T13:58:26.820,3.977,97579.797
1559681906893,2019-06-04T13:58:26.893,4.050,97575.359
1559681906966,2019-06-04T13:58:26.966,4.123,97581.109
1559681907040,2019-06-04T13:58:27.040,4.197,97577.172
1559681907114,2019-06-04T13:58:27.114,4.271,97577.172
1559681907188,2019-06-04T13:58:27.188,4.345,97577.172
1559681907261,2019-06-04T13:58:27.261,4.418,97575.859
1559681907334,2019-06-04T13:58:27.334,4.491,97574.047
1559681907409,2019-06-04T13:58:27.409,4.566,97576.672
1559681907482,2019-06-04T13:58:27.482,4.639,97577.172
1559681907555,2019-06-04T13:58:27.555,4.712,97574.047
1559681907628,2019-06-04T13:58:27.628,4.785,97577.984
1559681907703,2019-06-04T13:58:27.703,4.860,97577.469
1559681907776,2019-06-04T13:58:27.776,4.933,97577.469
1559681907850,2019-06-04T13:58:27.850,5.007,97576.672
1559681907923,2019-06-04T13:58:27.923,5.080,97577.172
1559681907998,2019-06-04T13:58:27.998,5.155,97577.172
1559681908071,2019-06-04T13:58:28.071,5.228,97583.227
1559681908144,2019-06-04T13:58:28.144,5.301,97577.172
1559681908217,2019-06-04T13:58:28.217,5.374,97574.555
1559681908292,2019-06-04T13:58:28.292,5.449,97574.555
1559681908365,2019-06-04T13:58:28.365,5.522,97577.172
1559681908438,2019-06-04T13:58:28.438,5.595,97577.172
1559681908513,2019-06-04T13:58:28.513,5.670,97575.859
1559681908586,2019-06-04T13:58:28.586,5.743,97576.672
1559681908660,2019-06-04T13:58:28.660,5.817,97579.289
1559681908733,2019-06-04T13:58:28.733,5.890,97572.438
1559681908808,2019-06-04T13:58:28.808,5.965,97577.172
1559681908881,2019-06-04T13:58:28.881,6.038,97576.672
1559681908954,2019-06-04T13:58:28.954,6.111,97577.172
1559681909027,2019-06-04T13:58:29.027,6.184,97575.859
1559681909102,2019-06-04T13:58:29.102,6.259,97576.367
1559681909175,2019-06-04T13:58:29.175,6.332,97585.047
1559681909249,2019-06-04T13:58:29.249,6.406,97575.859
1559681909322,2019-06-04T13:58:29.322,6.479,97577.984
1559681909396,2019-06-04T13:58:29.396,6.553,97579.797
1559681909470,2019-06-04T13:58:29.470,6.627,97578.484
1559681909543,2019-06-04T13:58:29.543,6.700,97577.172
1559681909616,2019-06-04T13:58:29.616,6.773,97580.602
1559681909691,2019-06-04T13:58:29.691,6.848,97579.289
1559681909764,2019-06-04T13:58:29.764,6.921,97581.406
1559681909837,2019-06-04T13:58:29.837,6.994,97578.781
1559681909911,2019-06-04T13:58:29.911,7.068,97580.094
1559681909985,2019-06-04T13:58:29.985,7.142,97578.781
1559681910059,2019-06-04T13:58:30.059,7.216,97579.289
1559681910132,2019-06-04T13:58:30.132,7.289,97579.289
