epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1559681908531,2019-06-04T13:58:28.531,0.000,97660.375
1559681908604,2019-06-04T13:58:28.604,0.073,97669.047
1559681908679,2019-06-04T13:58:28.679,0.148,97664.609
1559681908752,2019-06-04T13:58:28.752,0.221,97662.781
1559681908825,2019-06-04T13:58:28.825,0.294,97664.391
1559681908898,2019-06-04T13:58:28.898,0.367,97660.969
1559681908973,2019-06-04T13:58:28.973,0.442,97662.281
1559681909046,2019-06-04T13:58:29.046,0.515,97660.781
1559681909120,2019-06-04T13:58:29.120,0.589,97665.234
1559681909193,2019-06-04T13:58:29.193,0.662,97664.906
1559681909268,2019-06-04T13:58:29.268,0.737,97667.859
1559681909341,2019-06-04T13:58:29.341,0.810,97662.609
1559681909414,2019-06-04T13:58:29.414,0.883,97657.359
1559681909487,2019-06-04T13:58:29.487,0.956,97667.531
1559681909562,2019-06-04T13:58:29.562,1.031,97663.922
1559681909635,2019-06-04T13:58:29.635,1.104,97665.234
1559681909708,2019-06-04T13:58:29.708,1.177,97663.086
1559681909782,2019-06-04T13:58:29.782,1.251,97666.039
1559681909856,2019-06-04T13:58:29.856,1.325,97667.859
1559681909930,2019-06-04T13:58:29.930,1.399,97666.547
1559681910003,2019-06-04T13:58:30.003,1.472,97663.922
1559681910076,2019-06-04T13:58:30.076,1.545,97657.359
1559681910151,2019-06-04T13:58:30.151,1.620,97660.781
1559681910224,2019-06-04T13:58:30.224,1.693,97665.234
1559681910297,2019-06-04T13:58:30.297,1.766,97657.828
1559681910371,2019-06-04T13:58:30.371,1.840,97659.477
1559681910445,2019-06-04T13:58:30.445,1.914,97654.734
1559681910519,2019-06-04T13:58:30.519,1.988,97665.531
1559681910592,2019-06-04T13:58:30.592,2.061,97654.734
1559681910665,2019-06-04T13:58:30.665,2.134,97663.406
1559681910740,2019-06-04T13:58:30.740,2.209,97652.109
1559681910813,2019-06-04T13:58:30.813,2.282,97655.539
1559681910886,2019-06-04T13:58:30.886,2.355,97663.406
1559681910959,2019-06-04T13:58:30.959,2.428,97656.852
1559681911034,2019-06-04T13:58:31.034,2.503,97652.914
1559681911107,2019-06-04T13:58:31.107,2.576,97658.672
1559681911181,2019-06-04T13:58:31.181,2.650,97658.672
1559681911254,2019-06-04T13:58:31.254,2.723,97661.594
1559681911329,2019-06-04T13:58:31.329,2.798,97659.477
1559681911402,2019-06-04T13:58:31.402,2.871,97656.344
1559681911475,2019-06-04T13:58:31.475,2.944,97659.477
1559681911548,2019-06-04T13:58:31.548,3.017,97660.281
1559681911623,2019-06-04T13:58:31.623,3.092,97654.219
1559681911696,2019-06-04T13:58:31.696,3.165,97656.344
1559681911770,2019-06-04T13:58:31.770,3.239,97660.281
1559681911843,2019-06-04T13:58:31.843,3.312,97656.516
1559681911917,2019-06-04T13:58:31.917,3.386,97665.531
1559681911991,2019-06-04T13:58:31.991,3.460,97659.984
1559681912064,2019-06-04T13:58:32.064,3.533,97661.594
1559681912137,2019-06-04T13:58:32.137,3.606,97655.031
1559681912212,2019-06-04T13:58:32.212,3.681,97666.039
1559681912285,2019-06-04T13:58:32.285,3.754,97655.539
1559681912358,2019-06-04T13:58:32.358,3.827,97658.156
1559681912432,2019-06-04T13:58:32.432,3.901,97657.656
1559681912506,2019-06-04T13:58:32.506,3.975,97656.852
1559681912580,2019-06-04T13:58:32.580,4.049,97652.406
1559681912653,2019-06-04T13:58:32.653,4.122,97651.094
1559681912726,2019-06-04T13:58:32.726,4.195,97656.344
1559681912801,2019-06-04T13:58:32.801,4.270,97664.219
1559681912874,2019-06-04T13:58:32.874,4.343,97655.539
1559681912947,2019-06-04T13:58:32.947,4.416,97655.031
1559681913021,2019-06-04T13:58:33.021,4.490,97655.539
